Date,Mid
2021-10-18,1.20938
2021-10-15,1.20139
2021-10-14,1.20343
2021-10-13,1.20342
2021-10-12,1.20367
2021-10-11,1.19805
2021-10-08,1.19655
2021-10-07,1.19784
2021-10-06,1.19474
2021-10-05,1.19099
2021-10-04,1.18977
2021-10-01,1.19124
2021-09-30,1.18657
2021-09-29,1.1874
2021-09-28,1.18125
2021-09-27,1.17603
2021-09-24,1.17759
2021-09-23,1.17298
2021-09-22,1.17169
2021-09-21,1.17642
2021-09-20,1.17918
2021-09-17,1.17635
2021-09-16,1.1812
2021-09-15,1.18492
2021-09-14,1.19323
2021-09-13,1.19031
2021-09-10,1.19132
2021-09-09,1.19779
2021-09-08,1.19017
2021-09-07,1.19286
2021-09-06,1.19476
2021-09-03,1.19844
2021-09-02,1.19284
2021-09-01,1.19001
2021-08-31,1.1846
2021-08-30,1.19128
2021-08-27,1.19692
2021-08-26,1.20627
2021-08-25,1.20898
2021-08-24,1.20488
2021-08-23,1.20704
2021-08-20,1.2174
2021-08-19,1.21664
2021-08-18,1.21493
2021-08-17,1.21551
2021-08-16,1.21167
2021-08-13,1.20908
2021-08-12,1.20372
2021-08-11,1.21053
2021-08-10,1.21274
2021-08-09,1.21177
2021-08-06,1.21303
2021-08-05,1.21172
2021-08-04,1.21172
2021-08-03,1.20482
2021-08-02,1.20481
2021-07-30,1.1962
2021-07-29,1.20351
2021-07-28,1.20428
2021-07-27,1.20594
2021-07-26,1.21298
2021-07-23,1.21201
2021-07-22,1.21096
2021-07-21,1.21597
2021-07-20,1.21363
2021-07-19,1.21667
2021-07-16,1.2164
2021-07-15,1.21044
2021-07-14,1.21284
2021-07-13,1.20749
2021-07-12,1.20748
2021-07-09,1.2153
2021-07-08,1.21568
2021-07-07,1.22062
2021-07-06,1.21496
2021-07-05,1.22174
2021-07-02,1.2271
2021-07-01,1.23239
2021-06-30,1.22957
2021-06-29,1.22473
2021-06-28,1.22141
2021-06-25,1.22141
2021-06-24,1.22952
2021-06-23,1.22478
2021-06-22,1.2216
2021-06-21,1.21922
2021-06-18,1.21844
2021-06-17,1.2185
2021-06-16,1.2161
2021-06-15,1.22432
2021-06-14,1.22559
2021-06-11,1.22656
2021-06-10,1.21985
2021-06-09,1.21505
2021-06-08,1.21432
2021-06-07,1.21086
2021-06-04,1.21398
2021-06-03,1.20799
2021-06-02,1.21022
2021-06-01,1.21091
2021-05-31,1.21202
2021-05-28,1.21454
2021-05-27,1.21132
2021-05-26,1.20692
2021-05-25,1.19256
2021-05-24,1.1962
2021-05-21,1.19127
2021-05-20,1.19157
2021-05-19,1.18905
2021-05-18,1.18399
2021-05-17,1.18544
2021-05-14,1.18745
2021-05-13,1.18526
2021-05-12,1.18612
2021-05-11,1.18516
2021-05-10,1.1831
2021-05-07,1.18041
