Date,Mid,
2021-10-18,1.38736,
2021-10-15,1.38381,
2021-10-14,1.39271,
2021-10-13,1.39371,
2021-10-12,1.39846,
2021-10-11,1.38261,
2021-10-08,1.37829,
2021-10-07,1.37773,
2021-10-06,1.37507,
2021-10-05,1.37387,
2021-10-04,1.37054,
2021-10-01,1.37325,
2021-09-30,1.37371,
2021-09-29,1.38224,
2021-09-28,1.3897,
2021-09-27,1.38272,
2021-09-24,1.38314,
2021-09-23,1.37791,
2021-09-22,1.3739,
2021-09-21,1.37601,
2021-09-20,1.37855,
2021-09-17,1.37314,
2021-09-16,1.36863,
2021-09-15,1.37474,
2021-09-14,1.38623,
2021-09-13,1.38662,
2021-09-10,1.39277,
2021-09-09,1.39627,
2021-09-08,1.38896,
2021-09-07,1.38998,
2021-09-06,1.39129,
2021-09-03,1.39891,
2021-09-02,1.39332,
2021-09-01,1.38866,
2021-08-31,1.38183,
2021-08-30,1.38357,
2021-08-27,1.38938,
2021-08-26,1.39486,
2021-08-25,1.39516,
2021-08-24,1.39247,
2021-08-23,1.39244,
2021-08-20,1.40046,
2021-08-19,1.41389,
2021-08-18,1.41126,
2021-08-17,1.40608,
2021-08-16,1.40059,
2021-08-13,1.39725,
2021-08-12,1.3859,
2021-08-11,1.39021,
2021-08-10,1.38988,
2021-08-09,1.38497,
2021-08-06,1.38143,
2021-08-05,1.38303,
2021-08-04,1.38154,
2021-08-03,1.37379,
2021-08-02,1.37291,
2021-07-30,1.36715,
2021-07-29,1.36435,
2021-07-28,1.36669,
2021-07-27,1.36588,
2021-07-26,1.37023,
2021-07-23,1.37181,
2021-07-22,1.36846,
2021-07-21,1.3736,
2021-07-20,1.36743,
2021-07-19,1.36784,
2021-07-16,1.37304,
2021-07-15,1.36497,
2021-07-14,1.36289,
2021-07-13,1.35852,
2021-07-12,1.35769,
2021-07-09,1.36861,
2021-07-08,1.36336,
2021-07-07,1.36628,
2021-07-06,1.35102,
2021-07-05,1.35621,
2021-07-02,1.35611,
2021-07-01,1.36078,
2021-06-30,1.36259,
2021-06-29,1.35664,
2021-06-28,1.3663,
2021-06-25,1.3663,
2021-06-24,1.3623,
2021-06-23,1.34988,
2021-06-22,1.34489,
2021-06-21,1.35408,
2021-06-18,1.35532,
2021-06-17,1.34904,
2021-06-16,1.33586,
2021-06-15,1.34608,
2021-06-14,1.35142,
2021-06-11,1.35832,
2021-06-10,1.35081,
2021-06-09,1.34575,
2021-06-08,1.33288,
2021-06-07,1.32203,
2021-06-04,1.32909,
2021-06-03,1.34003,
2021-06-02,1.33575,
2021-06-01,1.33789,
2021-05-31,1.34332,
2021-05-28,1.34505,
2021-05-27,1.33637,
2021-05-26,1.34179,
2021-05-25,1.33214,
2021-05-24,1.33068,
2021-05-21,1.33566,
2021-05-20,1.3386,
2021-05-19,1.33586,
2021-05-18,1.33244,
2021-05-17,1.32817,
2021-05-14,1.32596,
2021-05-13,1.32709,
2021-05-12,1.32449,
2021-05-11,1.31964,
2021-05-10,1.31983,
2021-05-07,1.31144,
2021-05-06,1.32204,
2021-05-05,1.32692,
2021-05-04,1.31627,
2021-05-03,1.31477,
2021-04-30,1.31451,
2021-04-29,1.29854,
2021-04-28,1.30528,
2021-04-27,1.29154,
2021-04-26,1.29472,
2021-04-23,1.29233,
2021-04-22,1.29825,
2021-04-21,1.30431,
2021-04-20,1.30227,
2021-04-19,1.30391,
2021-04-16,1.30782,
2021-04-15,1.31453,
2021-04-14,1.29469,
2021-04-13,1.29387,
2021-04-12,1.29082,
2021-04-09,1.29022,
2021-04-08,1.30114,
2021-04-07,1.29348,
2021-04-06,1.3062,
2021-04-05,1.30433,
2021-04-02,1.2936,
2021-04-01,1.29133,
2021-03-31,1.28671,
2021-03-30,1.29757,
2021-03-29,1.29274,
2021-03-26,1.28835,
2021-03-25,1.29138,
2021-03-24,1.28568,
2021-03-23,1.28301,
2021-03-22,1.27395,
2021-03-19,1.27384,
2021-03-18,1.27215,
2021-03-17,1.27287,
2021-03-16,1.28155,
2021-03-15,1.29143,
2021-03-12,1.29725,
2021-03-11,1.29662,
2021-03-10,1.28885,
2021-03-09,1.28458,
2021-03-08,1.27942,
2021-03-05,1.28035,
2021-03-04,1.30016,
2021-03-03,1.29801,
2021-03-02,1.31576,
2021-03-01,1.32782,
2021-02-26,1.32801,
2021-02-25,1.33505,
2021-02-24,1.33825,
2021-02-23,1.33676,
2021-02-22,1.33488,
2021-02-19,1.31987,
2021-02-18,1.32084,
2021-02-17,1.31505,
2021-02-16,1.30625,
2021-02-15,1.30881,
2021-02-12,1.32129,
2021-02-11,1.30971,
2021-02-10,1.32376,
2021-02-09,1.31034,
2021-02-08,1.30829,
2021-02-05,1.30659,
2021-02-04,1.30326,
2021-02-03,1.30471,
2021-02-02,1.30709,
2021-02-01,1.30509,
2021-01-29,1.31422,
2021-01-28,1.31129,
2021-01-27,1.30712,
2021-01-26,1.30744,
2021-01-25,1.30836,
2021-01-22,1.30942,
2021-01-21,1.2996,
2021-01-20,1.29304,
2021-01-19,1.28806,
2021-01-18,1.27926,
2021-01-15,1.27399,
2021-01-14,1.2733,
2021-01-13,1.27302,
2021-01-12,1.26609,
2021-01-11,1.25654,
2021-01-08,1.25523,
2021-01-07,1.25863,
2021-01-06,1.25521,
2021-01-05,1.25536,
2021-01-04,1.26202,
2021-01-01,1.26055,
2020-12-31,1.26085,
2020-12-30,1.25399,
2020-12-29,1.24917,
2020-12-28,1.24798,
2020-12-25,1.2467,
2020-12-24,1.24739,
2020-12-23,1.24,
2020-12-22,1.22976,
2020-12-21,1.23343,
2020-12-18,1.24173,
2020-12-17,1.24169,
2020-12-16,1.25187,
2020-12-15,1.24673,
2020-12-14,1.23476,
2020-12-11,1.2423,
2020-12-10,1.25547,
2020-12-09,1.25712,
2020-12-08,1.26046,
2020-12-07,1.25396,
2020-12-04,1.26013,
2020-12-03,1.27463,
2020-12-02,1.27271,
2020-12-01,1.27218,
2020-11-30,1.26656,
2020-11-27,1.25958,
2020-11-26,1.25734,
2020-11-25,1.25495,
2020-11-24,1.24887,
2020-11-23,1.23454,
2020-11-20,1.23188,
2020-11-19,1.22591,
2020-11-18,1.23328,
2020-11-17,1.2188,
2020-11-16,1.21665,
2020-11-13,1.22193,
2020-11-12,1.2237,
2020-11-11,1.2251,
2020-11-10,1.21936,
2020-11-09,1.21003,
2020-11-06,1.22247,
2020-11-05,1.22289,
2020-11-04,1.22579,
2020-11-03,1.23329,
2020-11-02,1.24033,
2020-10-30,1.23543,
2020-10-29,1.23414,
2020-10-28,1.24329,
2020-10-27,1.24422,
2020-10-26,1.24869,
2020-10-23,1.25915,
2020-10-22,1.24697,
2020-10-21,1.24227,
2020-10-20,1.24284,
2020-10-19,1.23654,
2020-10-16,1.23432,
2020-10-15,1.23321,
2020-10-14,1.22879,
2020-10-13,1.24318,
2020-10-12,1.24939,
2020-10-09,1.2455,
2020-10-08,1.25108,
2020-10-07,1.26233,
2020-10-06,1.25002,
2020-10-05,1.24449,
2020-10-02,1.24525,
2020-10-01,1.23808,
2020-09-30,1.23297,
2020-09-29,1.22291,
2020-09-28,1.2264,
2020-09-25,1.23925,
2020-09-24,1.2373,
2020-09-23,1.24163,
2020-09-22,1.24171,
2020-09-21,1.24448,
2020-09-18,1.21997,
2020-09-17,1.18842,
2020-09-16,1.17488,
2020-09-15,1.15372,
2020-09-14,1.16301,
2020-09-11,1.14837,
2020-09-10,1.16141,
2020-09-09,1.20499,
2020-09-08,1.22674,
2020-09-07,1.22673,
2020-09-04,1.25653,
2020-09-03,1.28117,
2020-09-02,1.29017,
2020-09-01,1.31226,
2020-08-31,1.30459,
2020-08-28,1.29485,
2020-08-27,1.28698,
