Date,Mid
2021-10-18,0.91348
2021-10-15,0.91651
2021-10-14,0.91639
2021-10-13,0.91561
2021-10-12,0.91479
2021-10-11,0.91972
2021-10-08,0.92219
2021-10-07,0.92236
2021-10-06,0.92051
2021-10-05,0.92207
2021-10-04,0.92322
2021-10-01,0.92358
2021-09-30,0.92949
2021-09-29,0.93078
2021-09-28,0.93615
2021-09-27,0.94176
2021-09-24,0.94156
2021-09-23,0.94354
2021-09-22,0.94201
2021-09-21,0.93887
2021-09-20,0.93885
2021-09-17,0.9396
2021-09-16,0.93554
2021-09-15,0.93391
2021-09-14,0.9232
2021-09-13,0.92843
2021-09-10,0.92712
2021-09-09,0.92249
2021-09-08,0.9246
2021-09-07,0.92723
2021-09-06,0.92919
2021-09-03,0.92408
2021-09-02,0.92953
2021-09-01,0.92758
2021-08-31,0.93616
2021-08-30,0.93029
2021-08-27,0.92861
2021-08-26,0.91974
2021-08-25,0.91434
2021-08-24,0.91483
2021-08-23,0.90824
2021-08-20,0.90462
2021-08-19,0.90637
2021-08-18,0.90485
2021-08-17,0.89553
2021-08-16,0.89612
2021-08-13,0.89569
2021-08-12,0.89843
2021-08-11,0.89221
2021-08-10,0.8897
2021-08-09,0.89102
2021-08-06,0.89003
2021-08-05,0.8899
2021-08-04,0.89227
2021-08-03,0.89851
2021-08-02,0.89841
2021-07-30,0.90401
2021-07-29,0.89879
2021-07-28,0.89716
2021-07-27,0.89675
2021-07-26,0.89003
2021-07-23,0.88864
2021-07-22,0.88873
2021-07-21,0.88661
2021-07-20,0.88803
2021-07-19,0.88506
2021-07-16,0.88483
2021-07-15,0.88918
2021-07-14,0.8882
2021-07-13,0.89045
2021-07-12,0.89037
2021-07-09,0.88816
2021-07-08,0.88753
2021-07-07,0.88615
2021-07-06,0.89017
2021-07-05,0.88495
2021-07-02,0.88492
2021-07-01,0.87825
2021-06-30,0.87824
2021-06-29,0.88112
2021-06-28,0.88468
2021-06-25,0.88468
2021-06-24,0.88118
2021-06-23,0.88389
2021-06-22,0.88889
2021-06-21,0.88877
2021-06-18,0.89037
2021-06-17,0.88795
2021-06-16,0.88937
2021-06-15,0.88547
2021-06-14,0.88235
2021-06-11,0.88432
2021-06-10,0.88519
2021-06-09,0.88552
2021-06-08,0.88663
2021-06-07,0.88947
2021-06-04,0.88596
2021-06-03,0.88931
2021-06-02,0.88881
2021-06-01,0.89026
2021-05-31,0.89168
2021-05-28,0.89054
2021-05-27,0.89453
2021-05-26,0.89969
2021-05-25,0.90855
2021-05-24,0.90389
2021-05-21,0.90604
2021-05-20,0.90818
2021-05-19,0.91112
2021-05-18,0.91277
2021-05-17,0.91054
2021-05-14,0.91045
2021-05-13,0.91138
2021-05-12,0.91155
2021-05-11,0.91238
2021-05-10,0.91232
2021-05-07,0.91488
2021-05-06,0.91681
2021-05-05,0.91529
2021-05-04,0.91348
2021-05-03,0.8993
2021-04-30,0.90363
2021-04-29,0.91161
2021-04-28,0.91272
2021-04-27,0.91844
2021-04-26,0.91683
2021-04-23,0.91442
2021-04-22,0.91036
2021-04-21,0.90849
2021-04-20,0.90774
2021-04-19,0.90418
2021-04-16,0.90701
2021-04-15,0.90531
2021-04-14,0.90698
2021-04-13,0.90964
2021-04-12,0.91428
2021-04-09,0.91479
2021-04-08,0.91386
2021-04-07,0.91491
2021-04-06,0.90865
2021-04-05,0.90936
2021-04-02,0.91693
2021-04-01,0.91725
2021-03-31,0.91773
2021-03-30,0.91494
2021-03-29,0.91992
2021-03-26,0.91856
2021-03-25,0.92076
2021-03-24,0.91935
2021-03-23,0.92386
2021-03-22,0.92772
2021-03-19,0.92659
2021-03-18,0.92377
2021-03-17,0.91972
2021-03-16,0.91442
2021-03-15,0.91137
2021-03-12,0.90814
2021-03-11,0.90933
2021-03-10,0.90803
2021-03-09,0.9082
2021-03-08,0.90866
2021-03-05,0.9105
2021-03-04,0.91234
2021-03-03,0.91766
2021-03-02,0.91594
2021-03-01,0.91321
2021-02-26,0.90934
2021-02-25,0.91058
2021-02-24,0.90927
2021-02-23,0.90363
2021-02-22,0.90404
2021-02-19,0.90894
2021-02-18,0.90814
2021-02-17,0.90766
2021-02-16,0.91179
2021-02-15,0.91146
2021-02-12,0.9076
2021-02-11,0.91495
2021-02-10,0.90368
2021-02-09,0.90654
2021-02-08,0.90892
2021-02-05,0.90966
2021-02-04,0.91196
2021-02-03,0.9167
2021-02-02,0.91553
2021-02-01,0.9122
2021-01-29,0.9097
2021-01-28,0.90834
2021-01-27,0.91324
2021-01-26,0.91768
2021-01-25,0.91307
2021-01-22,0.90885
2021-01-21,0.9125
2021-01-20,0.91782
2021-01-19,0.91985
2021-01-18,0.92039
2021-01-15,0.92535
2021-01-14,0.92955
2021-01-13,0.93309
2021-01-12,0.93886
2021-01-11,0.93845
2021-01-08,0.94541
2021-01-07,0.9443
2021-01-06,0.93987
2021-01-05,0.94151
2021-01-04,0.94105
2021-01-01,0.94005
2020-12-31,0.93822
2020-12-30,0.94239
2020-12-29,0.94214
2020-12-28,0.94387
2020-12-25,0.94523
2020-12-24,0.94572
2020-12-23,0.94713
2020-12-22,0.95106
2020-12-21,0.94785
2020-12-18,0.9484
2020-12-17,0.94784
2020-12-16,0.94469
2020-12-15,0.94777
2020-12-14,0.95216
2020-12-11,0.95135
2020-12-10,0.94854
2020-12-09,0.95119
2020-12-08,0.94904
2020-12-07,0.95226
2020-12-04,0.94401
2020-12-03,0.94377
2020-12-02,0.95074
2020-12-01,0.95751
2020-11-30,0.96214
2020-11-27,0.95543
2020-11-26,0.96113
2020-11-25,0.96218
2020-11-24,0.96076
2020-11-23,0.96048
2020-11-20,0.96422
2020-11-19,0.96826
2020-11-18,0.96542
2020-11-17,0.97169
2020-11-16,0.97095
2020-11-13,0.97027
2020-11-12,0.9646
2020-11-11,0.97115
2020-11-10,0.97108
2020-11-09,0.97129
2020-11-06,0.97292
2020-11-05,0.97192
2020-11-04,0.96921
2020-11-03,0.97279
2020-11-02,0.97034
2020-10-30,0.9729
2020-10-29,0.97484
2020-10-28,0.97183
2020-10-27,0.96531
2020-10-26,0.96105
2020-10-23,0.96519
2020-10-22,0.97326
2020-10-21,0.97496
2020-10-20,0.97523
2020-10-19,0.97253
2020-10-16,0.97592
2020-10-15,0.97136
2020-10-14,0.96923
2020-10-13,0.96782
2020-10-12,0.96633
2020-10-09,0.97013
2020-10-08,0.96435
2020-10-07,0.96006
2020-10-06,0.96663
2020-10-05,0.96489
2020-10-02,0.96614
2020-10-01,0.97127
2020-09-30,0.96954
2020-09-29,0.97862
2020-09-28,0.9755
2020-09-25,0.97343
2020-09-24,0.96541
2020-09-23,0.96094
2020-09-22,0.95826
2020-09-21,0.95005
2020-09-18,0.96253
2020-09-17,0.97661
2020-09-16,0.98134
2020-09-15,0.98426
2020-09-14,0.98523
2020-09-11,0.98572
2020-09-10,0.96773
2020-09-09,0.96111
2020-09-08,0.94673
2020-09-07,0.95009
2020-09-04,0.94341
2020-09-03,0.93778
2020-09-02,0.93967
2020-09-01,0.92511
2020-08-31,0.93698
2020-08-28,0.94521
2020-08-27,0.95619
2020-08-26,0.95552
2020-08-25,0.95855
2020-08-24,0.96437
2020-08-21,0.96751
2020-08-20,0.97665
2020-08-19,0.97594
2020-08-18,0.97891
2020-08-17,0.97814
2020-08-14,0.98391
2020-08-13,0.98362
2020-08-12,0.98311
2020-08-11,0.98061
2020-08-10,0.98205
2020-08-07,0.97934
2020-08-06,0.97808
2020-08-05,0.97564
2020-08-04,0.97711
2020-08-03,0.97742
2020-07-31,0.97469
2020-07-30,0.97327
2020-07-29,0.96897
2020-07-28,0.96569
2020-07-27,0.96271
2020-07-24,0.96933
2020-07-23,0.97298
2020-07-22,0.97305
2020-07-21,0.96931
2020-07-20,0.97102
2020-07-17,0.96882
2020-07-16,0.96777
2020-07-15,0.96863
2020-07-14,0.96778
2020-07-13,0.96745
2020-07-10,0.96476
2020-07-09,0.96408
2020-07-08,0.96699
2020-07-07,0.97055
2020-07-06,0.97234
2020-07-03,0.97298
2020-07-02,0.97374
2020-07-01,0.97013
2020-06-30,0.96786
2020-06-29,0.97222
2020-06-26,0.97115
2020-06-25,0.96695
2020-06-24,0.96707
2020-06-23,0.96919
2020-06-22,0.9741
2020-06-19,0.98104
2020-06-18,0.97998
2020-06-17,0.97938
2020-06-16,0.98121
2020-06-15,0.98251
2020-06-12,0.97838
2020-06-11,0.98034
2020-06-10,0.97983
2020-06-09,0.98222
2020-06-08,0.98353
2020-06-05,0.9844
2020-06-04,0.98296
2020-06-03,0.98427
2020-06-02,0.98767
2020-06-01,0.99007
2020-05-29,0.98672
2020-05-28,0.98824
2020-05-27,0.98697
2020-05-26,0.99114
2020-05-25,0.99955
2020-05-22,0.99819
2020-05-21,0.99893
2020-05-20,0.99689
2020-05-19,0.99614
2020-05-18,0.99677
2020-05-15,0.99302
2020-05-14,0.99062
2020-05-13,0.99038
2020-05-12,0.98949
2020-05-11,0.98945
2020-05-08,0.98778
2020-05-07,0.98982
2020-05-06,0.99301
2020-05-05,0.99328
2020-05-04,0.99671
2020-05-01,0.99479
2020-04-30,0.99268
2020-04-29,0.9926
2020-04-28,0.98767
2020-04-27,0.98546
2020-04-24,0.98618
2020-04-23,0.98911
2020-04-22,0.99381
2020-04-21,0.99449
2020-04-20,0.99393
2020-04-17,0.99208
2020-04-16,0.99001
2020-04-15,0.98935
2020-04-14,0.9854
2020-04-13,0.98381
2020-04-10,0.98766
2020-04-09,0.99467
2020-04-08,0.99864
2020-04-07,0.99659
2020-04-06,0.99653
2020-04-03,0.99681
2020-04-02,0.99584
2020-04-01,0.99293
2020-03-31,0.99466
2020-03-30,0.99513
2020-03-27,0.9987
2020-03-26,0.99678
2020-03-25,0.99322
2020-03-24,0.99755
2020-03-23,0.99058
2020-03-20,0.99329
2020-03-19,0.99135
2020-03-18,0.98512
2020-03-17,0.98971
2020-03-16,0.99078
2020-03-13,0.99237
2020-03-12,0.99719
2020-03-11,0.99296
2020-03-10,0.99255
2020-03-09,0.98994
2020-03-06,0.9903
2020-03-05,0.99274
2020-03-04,0.9917
2020-03-03,0.99198
2020-03-02,0.98717
2020-02-28,0.98582
2020-02-27,0.98063
2020-02-26,0.98672
2020-02-25,0.99048
2020-02-24,0.98928
2020-02-21,0.98642
2020-02-20,0.98129
2020-02-19,0.98109
2020-02-18,0.97852
2020-02-17,0.97404
2020-02-14,0.98358
2020-02-13,0.98228
2020-02-12,0.97767
2020-02-11,0.98153
2020-02-10,0.97805
2020-02-07,0.97627
2020-02-06,0.97314
2020-02-05,0.9765
2020-02-04,0.96916
2020-02-03,0.97247
2020-01-31,0.97458
2020-01-30,0.97547
2020-01-29,0.97666
2020-01-28,0.97337
2020-01-27,0.98215
2020-01-24,0.99027
2020-01-23,0.99388
2020-01-22,0.99005
2020-01-21,0.99155
2020-01-20,0.99322
2020-01-17,0.99074
2020-01-16,0.98463
2020-01-15,0.98517
2020-01-14,0.98192
2020-01-13,0.98154
2020-01-10,0.98136
2020-01-09,0.98742
2020-01-08,0.98777
2020-01-07,0.98439
2020-01-06,0.984
2020-01-03,0.99001
2020-01-02,0.9894
2020-01-01,0.99348
2019-12-31,0.99375
2019-12-30,0.99147
2019-12-27,0.98436
2019-12-26,0.98625
2019-12-25,0.9862
2019-12-24,0.98756
2019-12-23,0.97596
2019-12-20,0.97649
2019-12-19,0.97776
2019-12-18,0.97525
2019-12-17,0.97184
2019-12-16,0.97623
2019-12-13,0.98146
2019-12-12,0.99408
2019-12-11,1.00001
2019-12-10,0.99905
2019-12-09,0.99843
