Date,Mid
2021-10-18,107.864
2021-10-15,107.962
2021-10-14,108.069
2021-10-13,108.101
2021-10-12,108.153
2021-10-11,108.75
2021-10-08,108.762
2021-10-07,108.916
2021-10-06,109.059
2021-10-05,109.378
2021-10-04,109.65
2021-10-01,109.27
2021-09-30,109.849
2021-09-29,109.743
2021-09-28,110.173
2021-09-27,110.638
2021-09-24,110.604
2021-09-23,110.703
2021-09-22,110.351
2021-09-21,109.803
2021-09-20,109.613
2021-09-17,109.183
2021-09-16,108.73
2021-09-15,108.579
2021-09-14,108.84
2021-09-13,108.837
2021-09-10,108.88
2021-09-09,108.834
2021-09-08,108.992
2021-09-07,109.126
2021-09-06,108.999
2021-09-03,108.499
2021-09-02,108.372
2021-09-01,108.477
2021-08-31,108.866
2021-08-30,108.329
2021-08-27,107.972
2021-08-26,107.002
2021-08-25,106.684
2021-08-24,106.757
2021-08-23,106.509
2021-08-20,106.199
2021-08-19,105.873
2021-08-18,105.249
2021-08-17,105.071
2021-08-16,105.386
2021-08-13,105.702
2021-08-12,105.861
2021-08-11,106.038
2021-08-10,105.368
2021-08-09,104.909
2021-08-06,104.743
2021-08-05,104.588
2021-08-04,104.563
2021-08-03,105.208
2021-08-02,105.319
2021-07-30,105.52
2021-07-29,105.029
2021-07-28,104.969
2021-07-27,104.926
2021-07-26,104.638
2021-07-23,104.229
2021-07-22,104.078
2021-07-21,103.612
2021-07-20,103.745
2021-07-19,103.727
2021-07-16,103.496
2021-07-15,103.538
2021-07-14,103.899
2021-07-13,103.684
2021-07-12,103.75
2021-07-09,103.799
2021-07-08,103.878
2021-07-07,103.753
2021-07-06,104.255
2021-07-05,103.885
2021-07-02,103.794
2021-07-01,103.036
2021-06-30,102.708
2021-06-29,103.126
2021-06-28,103.259
2021-06-25,103.259
2021-06-24,103.183
2021-06-23,103.568
2021-06-22,103.778
2021-06-21,103.423
2021-06-18,103.625
2021-06-17,103.545
2021-06-16,103.639
2021-06-15,103.32
2021-06-14,103.281
2021-06-11,103.092
2021-06-10,103.463
2021-06-09,103.675
2021-06-08,104.033
2021-06-07,103.996
2021-06-04,104.245
2021-06-03,104.225
2021-06-02,104.161
2021-06-01,104.05
2021-05-31,104.131
2021-05-28,103.834
2021-05-27,104.411
