Date,Mid
2021-10-18,48.255
2021-10-15,48.361
2021-10-14,48.397
2021-10-13,48.374
2021-10-12,48.368
2021-10-11,48.345
2021-10-08,48.418
2021-10-07,48.495
2021-10-06,48.588
2021-10-05,48.569
2021-10-04,48.537
2021-10-01,48.552
2021-09-30,48.706
2021-09-29,48.539
2021-09-28,48.508
2021-09-27,48.557
2021-09-24,48.597
2021-09-23,48.515
2021-09-22,48.53
2021-09-21,48.458
2021-09-20,48.438
2021-09-17,48.532
2021-09-16,48.596
2021-09-15,48.641
2021-09-14,48.539
2021-09-13,48.498
2021-09-10,48.631
2021-09-09,48.645
2021-09-08,48.669
2021-09-07,48.578
2021-09-06,48.393
2021-09-03,48.405
2021-09-02,48.512
2021-09-01,48.493
2021-08-31,48.702
2021-08-30,48.661
2021-08-27,48.514
2021-08-26,48.5
2021-08-25,48.491
2021-08-24,48.524
2021-08-23,48.631
2021-08-20,48.747
2021-08-19,48.629
2021-08-18,48.638
2021-08-17,48.714
2021-08-16,48.489
2021-08-13,48.566
2021-08-12,48.492
2021-08-11,48.317
2021-08-10,47.938
2021-08-09,48.061
2021-08-06,48.05
2021-08-05,48.061
2021-08-04,48.09
2021-08-03,48.07
2021-08-02,48.115
2021-07-30,48.135
2021-07-29,48.068
2021-07-28,47.923
2021-07-27,48.039
2021-07-26,48.056
2021-07-23,48.065
2021-07-22,48.124
2021-07-21,48.067
2021-07-20,48.054
2021-07-19,48.084
2021-07-16,48.07
2021-07-15,48.036
2021-07-14,48.042
2021-07-13,48.062
2021-07-12,48.022
2021-07-09,48.046
2021-07-08,48.009
2021-07-07,47.996
2021-07-06,48.08
2021-07-05,48.084
2021-07-02,48.123
2021-07-01,48.07
2021-06-30,48.069
2021-06-29,48.04
2021-06-28,48.014
2021-06-25,48.014
2021-06-24,48.038
2021-06-23,48.014
2021-06-22,48.0475
2021-06-21,48.045
2021-06-18,48.045
2021-06-17,48.06
2021-06-16,48.113
2021-06-15,48.192
