dt,close
2/23/18,1488.74 
2/22/18,1510.86 
2/21/18,1513.72 
2/20/18,1536.65 
2/16/18,1476.37 
2/15/18,1475.71 
2/14/18,1470.42 
2/13/18,1460.35 
2/12/18,1457.81 
2/9/18,1479.60 
2/8/18,1442.38 
2/7/18,1516.47 
2/6/18,1486.72 
2/5/18,1461.65 
2/2/18,1488.00 
2/1/18,1531.10 
1/31/18,1544.48 
1/30/18,1532.90 
1/29/18,1549.91 
1/26/18,1614.12 
1/25/18,1489.54 
1/24/18,1478.09 
1/23/18,1504.40 
1/22/18,1496.41 
1/19/18,1474.26 
1/18/18,1468.39 
1/17/18,1455.74 
1/16/18,1448.24 
1/12/18,1441.15 
1/11/18,1458.77 
1/10/18,1462.32 
1/9/18,1430.21 
1/8/18,1424.91 
1/5/18,1486.86 
1/4/18,1522.40 
1/3/18,1513.29 
1/2/18,1538.02 
12/29/17,1524.01 
12/28/17,1524.77 
12/27/17,1494.88 
12/26/17,1489.20 
12/21/17,1486.88 
12/20/17,1475.21 
12/19/17,1477.31 
12/18/17,1565.96 
12/15/17,1508.42 
12/14/17,1507.50 
12/13/17,1465.88 
12/12/17,1424.12 
12/11/17,1442.18 
12/8/17,1509.60 
12/7/17,1508.02 
12/6/17,1509.78 
12/5/17,1470.44 
12/4/17,1444.90 
12/1/17,1476.82 
11/30/17,1488.84 
11/29/17,1519.28 
11/28/17,1536.65 
11/27/17,1591.21 
11/24/17,1647.27 
11/22/17,1674.13 
11/21/17,1671.31 
11/20/17,1675.31 
11/17/17,1713.44 
11/16/17,1676.32 
11/15/17,1658.81 
11/14/17,1626.50 
11/13/17,1612.93 
11/10/17,1740.89 
11/9/17,1702.49 
11/8/17,1674.09 
11/7/17,1682.57 
11/6/17,1718.31 
11/3/17,1687.41 
11/2/17,1697.51 
11/1/17,1687.81 
10/31/17,1688.01 
10/30/17,1670.03 
10/27/17,1652.45 
10/26/17,1645.64 
10/25/17,1647.68 
10/24/17,1699.32 
10/23/17,1667.51 
10/20/17,1667.21 
10/19/17,1706.67 
10/18/17,1694.32 
10/17/17,1684.37 
10/16/17,1642.19 
10/13/17,1636.24 
10/12/17,1639.84 
10/11/17,1666.37 
10/10/17,1683.80 
10/9/17,1641.54 
10/6/17,1664.97 
10/5/17,1694.32 
10/4/17,1672.54 
10/3/17,1644.73 
10/2/17,1626.86 
9/29/17,1619.83 
9/28/17,1579.32 
9/27/17,1578.99 
9/26/17,1609.50 
9/25/17,1646.11 
9/22/17,1667.49 
9/21/17,1646.13 
9/20/17,1639.41 
9/19/17,1644.72 
9/18/17,1677.90 
9/15/17,1686.65 
9/14/17,1671.39 
9/13/17,1648.34 
9/12/17,1673.97 
9/11/17,1681.77 
9/8/17,1698.36 
9/7/17,1726.92 
9/6/17,1727.14 
9/5/17,1687.09 
9/1/17,1710.74 
8/31/17,1715.67 
8/30/17,1681.25 
8/29/17,1724.29 
8/28/17,1768.39 
8/24/17,1739.40 
8/23/17,1760.70 
8/22/17,1734.99 
8/21/17,1716.37 
8/17/17,1713.55 
8/16/17,1735.53 
8/15/17,1707.78 
8/14/17,1694.23 
8/11/17,1679.74 
8/10/17,1658.07 
8/9/17,1626.51 
8/8/17,1652.21 
8/7/17,1645.07 
8/4/17,1631.90 
8/3/17,1607.95 
8/2/17,1614.19 
8/1/17,1646.70 
7/31/17,1620.12 
7/28/17,1681.19 
7/27/17,1714.13 
7/26/17,1695.47 
7/25/17,1685.18 
7/24/17,1670.75 
7/21/17,1658.34 
7/20/17,1667.07 
7/19/17,1649.70 
7/18/17,1635.76 
7/17/17,1663.98 
7/14/17,1700.22 
7/13/17,1711.31 
7/12/17,1698.41 
7/11/17,1669.27 
7/10/17,1674.56 
7/7/17,1690.16 
7/6/17,1685.86 
7/5/17,1702.37 
7/3/17,1706.25 
6/30/17,1726.88 
6/29/17,1713.94 
6/28/17,1798.89 
6/27/17,1781.22 
6/26/17,1786.46 
6/23/17,1776.68 
6/22/17,1778.28 
6/21/17,1789.87 
6/20/17,1802.49 
6/19/17,1851.08 
6/16/17,1849.98 
6/15/17,1860.49 
6/14/17,1877.90 
6/13/17,1816.07 
6/12/17,1822.73 
6/9/17,1839.54 
6/8/17,1849.23 
6/7/17,1846.52 
6/6/17,1851.90 
6/5/17,1843.56 
6/2/17,1827.33 
6/1/17,1768.90 
5/31/17,1720.64 
5/30/17,1708.97 
5/26/17,1699.00 
5/25/17,1666.95 
5/23/17,1590.54 
5/22/17,1587.16 
5/19/17,1611.86 
5/18/17,1547.85 
5/17/17,1561.26 
5/16/17,1573.03 
5/15/17,1615.64 
5/12/17,1675.01 
5/11/17,1630.74 
5/10/17,1674.74 
5/9/17,1715.16 
5/8/17,1726.38 
5/5/17,1741.91 
5/4/17,1661.55 
5/3/17,1662.64 
5/2/17,1715.25 
5/1/17,1751.11 
4/28/17,1743.03 
4/27/17,1734.04 
4/26/17,1722.32 
4/25/17,1716.01 
4/24/17,1681.98 
4/21/17,1686.31 
4/20/17,1676.27 
4/19/17,1695.78 
4/18/17,1762.31 
4/17/17,1772.73 
4/13/17,1738.76 
4/12/17,1759.10 
4/11/17,1776.91 
4/10/17,1752.20 
4/7/17,1712.00 
4/6/17,1679.21 
4/5/17,1705.03 
4/4/17,1666.85 
4/3/17,1630.26 
3/31/17,1608.52 
3/30/17,1578.89 
3/29/17,1590.48 
3/28/17,1608.35 
3/27/17,1590.38 
3/24/17,1535.33 
3/23/17,1553.44 
3/22/17,1536.36 
3/21/17,1536.99 
3/20/17,1533.00 
3/17/17,1540.44 
3/16/17,1519.81 
3/15/17,1493.39 
3/14/17,1482.45 
3/13/17,1522.60 
3/10/17,1502.36 
3/9/17,1553.94 
3/8/17,1532.88 
3/7/17,1433.24 
3/6/17,1447.23 
3/3/17,1432.66 
3/2/17,1430.29 
3/1/17,1408.94 
2/28/17,1394.35 
2/27/17,1374.93 
2/24/17,1367.68 
